Built-ins	Value properties	globalThis	TransitionEvent					
Built-ins	Value properties	globalThis	TransformStreamDefaultController					
Built-ins	Value properties	globalThis	TransformStream					
Built-ins	Value properties	globalThis	TrackEvent					
Built-ins	Value properties	globalThis	TouchList					
Built-ins	Value properties	globalThis	TouchEvent					
Built-ins	Value properties	globalThis	Touch					
Built-ins	Value properties	globalThis	TimeRanges					
Built-ins	Value properties	globalThis	TextTrackList					
Built-ins	Value properties	globalThis	TextTrackCueList					
Built-ins	Value properties	globalThis	TextTrackCue					
Built-ins	Value properties	globalThis	TextTrack					
Built-ins	Value properties	globalThis	TextMetrics					
Built-ins	Value properties	globalThis	TextEvent					
Built-ins	Value properties	globalThis	TextEncoderStream					
Built-ins	Value properties	globalThis	TextEncoder					
Built-ins	Value properties	globalThis	TextDecoderStream					
Built-ins	Value properties	globalThis	TextDecoder					
Built-ins	Value properties	globalThis	Text					
Built-ins	Value properties	globalThis	TaskSignal					
Built-ins	Value properties	globalThis	TaskPriorityChangeEvent					
Built-ins	Value properties	globalThis	TaskController					
Built-ins	Value properties	globalThis	TaskAttributionTiming					
Built-ins	Value properties	globalThis	SyncManager					
Built-ins	Value properties	globalThis	SubmitEvent					
Built-ins	Value properties	globalThis	StyleSheetList					
Built-ins	Value properties	globalThis	StyleSheet					
Built-ins	Value properties	globalThis	StylePropertyMapReadOnly					
Built-ins	Value properties	globalThis	StylePropertyMap					
Built-ins	Value properties	globalThis	StorageEvent					
Built-ins	Value properties	globalThis	Storage					
Built-ins	Value properties	globalThis	StereoPannerNode					
Built-ins	Value properties	globalThis	StaticRange					
Built-ins	Value properties	globalThis	ShadowRoot					
Built-ins	Value properties	globalThis	Selection					
Built-ins	Value properties	globalThis	SecurityPolicyViolationEvent					
Built-ins	Value properties	globalThis	ScriptProcessorNode					
Built-ins	Value properties	globalThis	ScreenOrientation					
Built-ins	Value properties	globalThis	Screen					
Built-ins	Value properties	globalThis	Scheduling					
Built-ins	Value properties	globalThis	Scheduler					
Built-ins	Value properties	globalThis	SVGViewElement					
Built-ins	Value properties	globalThis	SVGUseElement					
Built-ins	Value properties	globalThis	SVGUnitTypes					
Built-ins	Value properties	globalThis	SVGTransformList					
Built-ins	Value properties	globalThis	SVGTransform					
Built-ins	Value properties	globalThis	SVGTitleElement					
Built-ins	Value properties	globalThis	SVGTextPositioningElement					
Built-ins	Value properties	globalThis	SVGTextPathElement					
Built-ins	Value properties	globalThis	SVGTextElement					
Built-ins	Value properties	globalThis	SVGTextContentElement					
Built-ins	Value properties	globalThis	SVGTSpanElement					
Built-ins	Value properties	globalThis	SVGSymbolElement					
Built-ins	Value properties	globalThis	SVGSwitchElement					
Built-ins	Value properties	globalThis	SVGStyleElement					
Built-ins	Value properties	globalThis	SVGStringList					
Built-ins	Value properties	globalThis	SVGStopElement					
Built-ins	Value properties	globalThis	SVGSetElement					
Built-ins	Value properties	globalThis	SVGScriptElement					
Built-ins	Value properties	globalThis	SVGSVGElement					
Built-ins	Value properties	globalThis	SVGRectElement					
Built-ins	Value properties	globalThis	SVGRect					
Built-ins	Value properties	globalThis	SVGRadialGradientElement					
Built-ins	Value properties	globalThis	SVGPreserveAspectRatio					
Built-ins	Value properties	globalThis	SVGPolylineElement					
Built-ins	Value properties	globalThis	SVGPolygonElement					
Built-ins	Value properties	globalThis	SVGPointList					
Built-ins	Value properties	globalThis	SVGPoint					
Built-ins	Value properties	globalThis	SVGPatternElement					
Built-ins	Value properties	globalThis	SVGPathElement					
Built-ins	Value properties	globalThis	SVGNumberList					
Built-ins	Value properties	globalThis	SVGNumber					
Built-ins	Value properties	globalThis	SVGMetadataElement					
Built-ins	Value properties	globalThis	SVGMatrix					
Built-ins	Value properties	globalThis	SVGMaskElement					
Built-ins	Value properties	globalThis	SVGMarkerElement					
Built-ins	Value properties	globalThis	SVGMPathElement					
Built-ins	Value properties	globalThis	SVGLinearGradientElement					
Built-ins	Value properties	globalThis	SVGLineElement					
Built-ins	Value properties	globalThis	SVGLengthList					
Built-ins	Value properties	globalThis	SVGLength					
Built-ins	Value properties	globalThis	SVGImageElement					
Built-ins	Value properties	globalThis	SVGGraphicsElement					
Built-ins	Value properties	globalThis	SVGGradientElement					
Built-ins	Value properties	globalThis	SVGGeometryElement					
Built-ins	Value properties	globalThis	SVGGElement					
Built-ins	Value properties	globalThis	SVGForeignObjectElement					
Built-ins	Value properties	globalThis	SVGFilterElement					
Built-ins	Value properties	globalThis	SVGFETurbulenceElement					
Built-ins	Value properties	globalThis	SVGFETileElement					
Built-ins	Value properties	globalThis	SVGFESpotLightElement					
Built-ins	Value properties	globalThis	SVGFESpecularLightingElement					
Built-ins	Value properties	globalThis	SVGFEPointLightElement					
Built-ins	Value properties	globalThis	SVGFEOffsetElement					
Built-ins	Value properties	globalThis	SVGFEMorphologyElement					
Built-ins	Value properties	globalThis	SVGFEMergeNodeElement					
Built-ins	Value properties	globalThis	SVGFEMergeElement					
Built-ins	Value properties	globalThis	SVGFEImageElement					
Built-ins	Value properties	globalThis	SVGFEGaussianBlurElement					
Built-ins	Value properties	globalThis	SVGFEFuncRElement					
Built-ins	Value properties	globalThis	SVGFEFuncGElement					
Built-ins	Value properties	globalThis	SVGFEFuncBElement					
Built-ins	Value properties	globalThis	SVGFEFuncAElement					
Built-ins	Value properties	globalThis	SVGFEFloodElement					
Built-ins	Value properties	globalThis	SVGFEDropShadowElement					
Built-ins	Value properties	globalThis	SVGFEDistantLightElement					
Built-ins	Value properties	globalThis	SVGFEDisplacementMapElement					
Built-ins	Value properties	globalThis	SVGFEDiffuseLightingElement					
Built-ins	Value properties	globalThis	SVGFEConvolveMatrixElement					
Built-ins	Value properties	globalThis	SVGFECompositeElement					
Built-ins	Value properties	globalThis	SVGFEComponentTransferElement					
Built-ins	Value properties	globalThis	SVGFEColorMatrixElement					
Built-ins	Value properties	globalThis	SVGFEBlendElement					
Built-ins	Value properties	globalThis	SVGEllipseElement					
Built-ins	Value properties	globalThis	SVGElement					
Built-ins	Value properties	globalThis	SVGDescElement					
Built-ins	Value properties	globalThis	SVGDefsElement					
Built-ins	Value properties	globalThis	SVGComponentTransferFunctionElement					
Built-ins	Value properties	globalThis	SVGClipPathElement					
Built-ins	Value properties	globalThis	SVGCircleElement					
Built-ins	Value properties	globalThis	SVGAnimationElement					
Built-ins	Value properties	globalThis	SVGAnimatedTransformList					
Built-ins	Value properties	globalThis	SVGAnimatedString					
Built-ins	Value properties	globalThis	SVGAnimatedRect					
Built-ins	Value properties	globalThis	SVGAnimatedPreserveAspectRatio					
Built-ins	Value properties	globalThis	SVGAnimatedNumberList					
Built-ins	Value properties	globalThis	SVGAnimatedNumber					
Built-ins	Value properties	globalThis	SVGAnimatedLengthList					
Built-ins	Value properties	globalThis	SVGAnimatedLength					
Built-ins	Value properties	globalThis	SVGAnimatedInteger					
